Render flag enabled: attempting to use MuJoCo visualiser (render=true).
Launching MuJoCo visualizer... Close window to exit or it will auto-exit after steps.
[Step  19 ] pos=( 0.285 ,  -0.215 ) goal=( 0.8 ,  0.4 ) dist= 0.8023
[Step  28 ] pos=( 0.326 ,  -0.174 ) goal=( 0.8 ,  0.4 ) dist= 0.745
[Step  34 ] pos=( 0.353 ,  -0.147 ) goal=( 0.8 ,  0.4 ) dist= 0.7068
[Step  41 ] pos=( 0.384 ,  -0.116 ) goal=( 0.8 ,  0.4 ) dist= 0.6624
[Step  47 ] pos=( 0.411 ,  -0.089 ) goal=( 0.8 ,  0.4 ) dist= 0.6243
[Step  53 ] pos=( 0.439 ,  -0.061 ) goal=( 0.8 ,  0.4 ) dist= 0.5862
[Step  60 ] pos=( 0.47 ,  -0.03 ) goal=( 0.8 ,  0.4 ) dist= 0.5418
[Step  66 ] pos=( 0.497 ,  -0.003 ) goal=( 0.8 ,  0.4 ) dist= 0.5038
[Step  72 ] pos=( 0.524 ,  0.024 ) goal=( 0.8 ,  0.4 ) dist= 0.4659
[Step  79 ] pos=( 0.556 ,  0.056 ) goal=( 0.8 ,  0.4 ) dist= 0.4218
[Step  85 ] pos=( 0.579 ,  0.083 ) goal=( 0.8 ,  0.4 ) dist= 0.3866
[Step  91 ] pos=( 0.597 ,  0.11 ) goal=( 0.8 ,  0.4 ) dist= 0.354
[Step  98 ] pos=( 0.62 ,  0.142 ) goal=( 0.8 ,  0.4 ) dist= 0.3146
[Step  104 ] pos=( 0.646 ,  0.169 ) goal=( 0.8 ,  0.4 ) dist= 0.2775
[Step  110 ] pos=( 0.673 ,  0.182 ) goal=( 0.8 ,  0.4 ) dist= 0.2517
[Step  117 ] pos=( 0.687 ,  0.21 ) goal=( 0.8 ,  0.4 ) dist= 0.2214
[Step  123 ] pos=( 0.701 ,  0.233 ) goal=( 0.8 ,  0.4 ) dist= 0.1938
[Step  129 ] pos=( 0.714 ,  0.259 ) goal=( 0.8 ,  0.4 ) dist= 0.1649
[Step  135 ] pos=( 0.715 ,  0.269 ) goal=( 0.8 ,  0.4 ) dist= 0.156
[Step  141 ] pos=( 0.728 ,  0.282 ) goal=( 0.8 ,  0.4 ) dist= 0.1385
[Step  147 ] pos=( 0.729 ,  0.3 ) goal=( 0.8 ,  0.4 ) dist= 0.1229
[Step  154 ] pos=( 0.738 ,  0.313 ) goal=( 0.8 ,  0.4 ) dist= 0.1067
[Step  161 ] pos=( 0.748 ,  0.323 ) goal=( 0.8 ,  0.4 ) dist= 0.0936
[Step  167 ] pos=( 0.747 ,  0.332 ) goal=( 0.8 ,  0.4 ) dist= 0.0861
[Step  173 ] pos=( 0.756 ,  0.342 ) goal=( 0.8 ,  0.4 ) dist= 0.0734
[Step  179 ] pos=( 0.765 ,  0.342 ) goal=( 0.8 ,  0.4 ) dist= 0.0683
[Step  186 ] pos=( 0.769 ,  0.351 ) goal=( 0.8 ,  0.4 ) dist= 0.0582
[Step  192 ] pos=( 0.774 ,  0.355 ) goal=( 0.8 ,  0.4 ) dist= 0.052
[Step  198 ] pos=( 0.77 ,  0.363 ) goal=( 0.8 ,  0.4 ) dist= 0.0474
[Step  204 ] pos=( 0.773 ,  0.36 ) goal=( 0.8 ,  0.4 ) dist= 0.0487
[Step  210 ] pos=( 0.777 ,  0.364 ) goal=( 0.8 ,  0.4 ) dist= 0.0424
[Step  217 ] pos=( 0.778 ,  0.369 ) goal=( 0.8 ,  0.4 ) dist= 0.0382
[Step  223 ] pos=( 0.783 ,  0.378 ) goal=( 0.8 ,  0.4 ) dist= 0.0282
[Step  229 ] pos=( 0.784 ,  0.378 ) goal=( 0.8 ,  0.4 ) dist= 0.0277
[Step  235 ] pos=( 0.784 ,  0.387 ) goal=( 0.8 ,  0.4 ) dist= 0.0211
[Step  242 ] pos=( 0.786 ,  0.378 ) goal=( 0.8 ,  0.4 ) dist= 0.0262
[Step  248 ] pos=( 0.787 ,  0.378 ) goal=( 0.8 ,  0.4 ) dist= 0.0257
[Step  283 ] pos=( 0.782 ,  0.383 ) goal=( 0.8 ,  0.4 ) dist= 0.0248
[Step  290 ] pos=( 0.787 ,  0.395 ) goal=( 0.8 ,  0.4 ) dist= 0.0137
[Step  296 ] pos=( 0.792 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0082
[Step  302 ] pos=( 0.792 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0082
[Step  309 ] pos=( 0.796 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.006
[Step  315 ] pos=( 0.792 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0095
[Step  321 ] pos=( 0.787 ,  0.414 ) goal=( 0.8 ,  0.4 ) dist= 0.0188
[Step  327 ] pos=( 0.791 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.013
[Step  334 ] pos=( 0.796 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.01
[Step  340 ] pos=( 0.796 ,  0.417 ) goal=( 0.8 ,  0.4 ) dist= 0.0178
[Step  346 ] pos=( 0.796 ,  0.423 ) goal=( 0.8 ,  0.4 ) dist= 0.0231
[Step  353 ] pos=( 0.801 ,  0.441 ) goal=( 0.8 ,  0.4 ) dist= 0.0409
[Step  359 ] pos=( 0.792 ,  0.441 ) goal=( 0.8 ,  0.4 ) dist= 0.0417
[Step  365 ] pos=( 0.796 ,  0.445 ) goal=( 0.8 ,  0.4 ) dist= 0.0456
[Step  371 ] pos=( 0.8 ,  0.433 ) goal=( 0.8 ,  0.4 ) dist= 0.0328
[Step  378 ] pos=( 0.809 ,  0.432 ) goal=( 0.8 ,  0.4 ) dist= 0.0331
[Step  384 ] pos=( 0.81 ,  0.428 ) goal=( 0.8 ,  0.4 ) dist= 0.0299
[Step  390 ] pos=( 0.801 ,  0.423 ) goal=( 0.8 ,  0.4 ) dist= 0.0228
[Step  396 ] pos=( 0.81 ,  0.427 ) goal=( 0.8 ,  0.4 ) dist= 0.0291
[Step  403 ] pos=( 0.81 ,  0.432 ) goal=( 0.8 ,  0.4 ) dist= 0.0334
[Step  409 ] pos=( 0.805 ,  0.428 ) goal=( 0.8 ,  0.4 ) dist= 0.0288
[Step  415 ] pos=( 0.805 ,  0.427 ) goal=( 0.8 ,  0.4 ) dist= 0.0279
[Step  421 ] pos=( 0.81 ,  0.423 ) goal=( 0.8 ,  0.4 ) dist= 0.0249
[Step  428 ] pos=( 0.81 ,  0.418 ) goal=( 0.8 ,  0.4 ) dist= 0.0208
[Step  434 ] pos=( 0.805 ,  0.414 ) goal=( 0.8 ,  0.4 ) dist= 0.0148
[Step  440 ] pos=( 0.805 ,  0.418 ) goal=( 0.8 ,  0.4 ) dist= 0.0191
[Step  447 ] pos=( 0.801 ,  0.41 ) goal=( 0.8 ,  0.4 ) dist= 0.0102
[Step  453 ] pos=( 0.797 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0097
