ctrl_scale,obs_noise,process_noise,steps_used,converged,final_distance
1.0,0.001,0.001,500,false,1.20112
1.0,0.001,0.01,500,false,1.20112
1.0,0.001,0.1,500,false,1.20112
1.0,0.01,0.001,500,false,1.20112
1.0,0.01,0.01,500,false,1.20112
1.0,0.01,0.1,500,false,1.20112
1.0,0.1,0.001,500,false,1.385953
1.0,0.1,0.01,500,false,1.201757
1.0,0.1,0.1,500,false,1.20112
2.5,0.001,0.001,500,false,0.253054
2.5,0.001,0.01,500,false,0.245083
2.5,0.001,0.1,500,false,0.245083
2.5,0.01,0.001,500,false,0.396535
2.5,0.01,0.01,500,false,0.270594
2.5,0.01,0.1,500,false,0.262654
2.5,0.1,0.001,500,false,0.90953
2.5,0.1,0.01,500,false,0.433148
2.5,0.1,0.1,500,false,0.3583
5.0,0.001,0.001,485,true,0.047505
5.0,0.001,0.01,327,true,0.047928
5.0,0.001,0.1,315,true,0.047502
5.0,0.01,0.001,500,false,0.076778
5.0,0.01,0.01,353,true,0.047502
5.0,0.01,0.1,321,true,0.047502
5.0,0.1,0.001,500,false,0.458607
5.0,0.1,0.01,500,false,0.087847
5.0,0.1,0.1,422,true,0.047928
